,plate,object_id,ra,dec,mag_B,mag_R,spectrum_class,spectrum_length,red_bord_position,9,10,11,12,13,14,15,16,fits_path
47,fbs0015,DFBSJ162132.39+430003.1,16:21:32.395,+43:00:03.13,14.79,13.65,OK,120,16,-4.120244146997565e-11,-6.897133709841945e-14,-1.7634568969607105e-11,-2.8828870648533076e-09,1.5498526928434638e-11,-3.052025828275603e-14,2.6134433961620102e-17,-8.232999279811724e-21,specimages/fbs0015-DFBSJ162132.39+430003.1.fits
48,fbs0015,DFBSJ162139.51+425605.9,16:21:39.511,+42:56:05.91,15.02,14.02,OK,88,18,-4.518677843605265e-11,-1.2022841844518207e-14,-4.666394781249524e-12,-7.964304694822479e-10,4.570077869110223e-12,-9.198786840298e-15,7.860416196202172e-18,-2.4351004429244785e-21,specimages/fbs0015-DFBSJ162139.51+425605.9.fits
49,fbs0018,DFBSJ143747.57+470029.8,14:37:47.571,+47:00:29.88,15.36,15.05,NL,94,18,5.308800404782802e-13,1.412649782462652e-16,5.4829759288526214e-14,9.358948627449954e-12,3.4140816953207444e-13,-1.1374003576174165e-15,1.2152010366482815e-18,-4.278877924262102e-22,specimages/fbs0018-DFBSJ143747.57+470029.8.fits
50,fbs0018,DFBSJ143748.75+470204.1,14:37:48.751,+47:02:04.18,15.89,15.1,NL,120,17,-2.2235742935696392e-11,-1.6044045605154894e-14,-4.8211042534926e-12,-8.048237522776134e-10,4.113048049243437e-12,-7.772698992814535e-15,6.421059398631478e-18,-1.9574807913104217e-21,specimages/fbs0018-DFBSJ143748.75+470204.1.fits
51,fbs0018,DFBSJ143750.43+465246.4,14:37:50.437,+46:52:46.42,13.65,12.88,OK,102,17,-7.938834463115645e-11,-5.728201414791094e-14,-1.721276503970051e-11,-2.873452710687229e-09,1.695173684586998e-11,-3.50392529918607e-14,3.073934299601138e-17,-9.777593223033901e-21,specimages/fbs0018-DFBSJ143750.43+465246.4.fits
52,fbs0018,DFBSJ143752.26+465729.4,14:37:52.267,+46:57:29.40,16.58,16.2,U,79,18,-6.5429429189833104e-12,-1.7408804319323443e-15,-6.756834746892355e-13,-1.1532135771266206e-10,6.551051818332019e-13,-1.3095602116030161e-15,1.1127185868976976e-18,-3.4292681337714527e-22,specimages/fbs0018-DFBSJ143752.26+465729.4.fits
53,fbs0018,DFBSJ143807.83+465237.5,14:38:07.837,+46:52:37.54,15.91,15.27,OK,85,17,-1.1904763113177194e-11,-8.58979173250727e-15,-2.581161192895235e-12,-4.3089251484653404e-10,2.3780304842381356e-12,-4.726595857450302e-15,4.04389048213177e-18,-1.264563702379349e-21,specimages/fbs0018-DFBSJ143807.83+465237.5.fits
54,fbs0018,DFBSJ143813.64+470217.5,14:38:13.644,+47:02:17.59,16.37,15.78,U,93,19,1.85979461603959e-12,-1.693162516754046e-15,-5.114522122336786e-13,-8.932759807525312e-11,5.790941261336921e-13,-1.2316842762390738e-15,1.079723766436497e-18,-3.376870681675699e-22,specimages/fbs0018-DFBSJ143813.64+470217.5.fits
55,fbs0018,DFBSJ143814.98+470157.8,14:38:14.989,+47:01:57.87,16.74,15.77,U,86,17,-9.488672247806595e-12,-6.846483585367722e-15,-2.0573120072761983e-12,-3.4344269394770256e-10,1.8001219764271595e-12,-3.4509657240853703e-15,2.873626875768136e-18,-8.79626058918496e-22,specimages/fbs0018-DFBSJ143814.98+470157.8.fits
56,fbs0020,DFBSJ070201.94+670517.0,07:02:01.942,+67:05:17.05,16.0,15.18,U,65,18,-8.185680839851332e-12,-2.1779630799587436e-15,-8.45327209723423e-13,-1.4427503444357703e-10,8.348553591656334e-13,-1.6841473202483617e-15,1.43857052052428e-18,-4.4498663900884075e-22,specimages/fbs0020-DFBSJ070201.94+670517.0.fits
57,fbs0020,DFBSJ070207.15+670056.8,07:02:07.153,+67:00:56.84,16.07,15.22,OK,89,28,5.607811189936617e-12,8.461573530536103e-16,2.5415768345890643e-13,5.928340461321493e-11,-1.679945335303847e-13,1.7790194686349953e-16,-8.3218481321754e-20,1.4493770365628757e-23,specimages/fbs0020-DFBSJ070207.15+670056.8.fits
58,fbs0020,DFBSJ070216.01+665928.6,07:02:16.017,+66:59:28.65,16.2,15.46,NL,63,16,-3.145184355282715e-12,-5.2649176453482805e-15,-1.3461320773116861e-12,-2.2006459120312786e-10,1.2400045329073224e-12,-2.52036556039934e-15,2.2109664301293045e-18,-7.106020184459404e-22,specimages/fbs0020-DFBSJ070216.01+665928.6.fits
59,fbs0020,DFBSJ070216.09+670012.1,07:02:16.090,+67:00:12.13,15.81,16.19,NL,90,28,3.2000349250687425e-12,4.828501354717728e-16,1.4503218524480976e-13,3.382938551164322e-11,-1.0375909031697147e-13,1.1790826505531978e-16,-5.87904725349438e-20,1.0855576720133467e-23,specimages/fbs0020-DFBSJ070216.09+670012.1.fits
60,fbs0020,DFBSJ070219.09+670644.6,07:02:19.099,+67:06:44.65,16.02,15.38,U,86,18,-2.440419533397714e-12,-6.493172637012602e-16,-2.5201750654104807e-13,-4.3012397192862856e-11,3.881983528432685e-13,-9.476279910331778e-16,9.03335267478667e-19,-3.005477867554368e-22,specimages/fbs0020-DFBSJ070219.09+670644.6.fits
61,fbs0020,DFBSJ070220.36+670301.2,07:02:20.365,+67:03:01.27,14.78,13.85,NL,93,16,-2.1695099417055632e-11,-3.631677339000759e-14,-9.285459862693795e-12,-1.517980141119707e-09,8.309350691814578e-12,-1.672567268805714e-14,1.4690673252423883e-17,-4.7571348413437466e-21,specimages/fbs0020-DFBSJ070220.36+670301.2.fits
62,fbs0020,DFBSJ070221.26+670501.5,07:02:21.266,+67:05:01.54,13.33,12.42,NL,120,16,-5.605899217656955e-11,-9.384060863124397e-14,-2.3993131536094192e-11,-3.922378520182272e-09,2.1848586297877046e-11,-4.408818397182418e-14,3.8427212554082195e-17,-1.2269449923682865e-20,specimages/fbs0020-DFBSJ070221.26+670501.5.fits
63,fbs0020,DFBSJ070222.41+670529.2,07:02:22.410,+67:05:29.23,14.61,14.59,NL,108,15,-2.5523076164512974e-13,7.141188222255666e-15,1.8980979675616856e-12,3.0417701431376075e-10,-2.676928294706424e-13,-1.4978494506396733e-15,2.669268574899118e-18,-1.2080846847371044e-21,specimages/fbs0020-DFBSJ070222.41+670529.2.fits
64,fbs0020,DFBSJ070231.50+670635.3,07:02:31.505,+67:06:35.33,16.86,15.53,U,42,17,-8.950542470773072e-12,-6.458203657096135e-15,-1.940637520431769e-12,-3.2396556287204134e-10,1.6068562131343277e-12,-2.962447676195247e-15,2.4037301703546055e-18,-7.243553143128671e-22,specimages/fbs0020-DFBSJ070231.50+670635.3.fits
65,fbs0020,DFBSJ070233.06+665928.5,07:02:33.068,+66:59:28.57,16.48,15.73,U,60,17,-4.218976434651605e-12,-3.0441698238726286e-15,-9.147477103071802e-13,-1.527056252335127e-10,8.595886453953821e-13,-1.7294878659045357e-15,1.491947874373308e-18,-4.693337228772127e-22,specimages/fbs0020-DFBSJ070233.06+665928.5.fits
66,fbs0020,DFBSJ070233.09+670520.0,07:02:33.093,+67:05:20.06,16.15,16.28,U,76,20,1.1280216265863376e-15,8.935753214821156e-18,4.179205029405142e-15,7.481234675959874e-13,4.08767517661684e-14,-1.2705565688310185e-16,1.278630145949655e-19,-4.243229080602575e-23,specimages/fbs0020-DFBSJ070233.09+670520.0.fits
67,fbs0020,DFBSJ070233.23+670752.5,07:02:33.239,+67:07:52.52,15.06,14.53,OK,81,16,-7.83092043250333e-12,-1.3108662389078703e-14,-3.35161801879328e-12,-5.479199730745565e-10,3.0280056243071086e-12,-6.065199418865741e-15,5.2506460663346574e-18,-1.6662028436670535e-21,specimages/fbs0020-DFBSJ070233.23+670752.5.fits
68,fbs0020,DFBSJ070235.01+670116.4,07:02:35.017,+67:01:16.44,14.8,13.84,OK,94,17,-2.2741424976147222e-11,-1.640890031119201e-14,-4.930738164571926e-12,-8.231247793296969e-10,4.610057277667495e-12,-9.240266600769336e-15,7.946688958752973e-18,-2.493448666090302e-21,specimages/fbs0020-DFBSJ070235.01+670116.4.fits
69,fbs0021,DFBSJ070154.32+630510.1,07:01:54.327,+63:05:10.11,15.75,15.1,OK,79,18,-9.097194848904594e-12,-2.4204885104218882e-15,-9.394579135890684e-13,-1.603405916086655e-10,9.561622327710724e-13,-1.970168574353158e-15,1.7104932775611082e-18,-5.360375893544164e-22,specimages/fbs0021-DFBSJ070154.32+630510.1.fits
70,fbs0021,DFBSJ070203.01+630027.1,07:02:03.016,+63:00:27.10,16.7,16.29,U,58,12,6.165571194219566e-12,-3.893129006079987e-15,-9.704440214225127e-13,-1.4725673716733356e-10,8.012098992583398e-13,-1.6029448537248159e-15,1.3999449040752392e-18,-4.515492605338818e-22,specimages/fbs0021-DFBSJ070203.01+630027.1.fits
71,fbs0021,DFBSJ070206.40+625806.7,07:02:06.402,+62:58:06.73,16.68,16.01,U,36,20,8.426059343815226e-15,6.676463165543726e-17,3.1225104613215794e-14,5.5889990198290266e-12,2.831559888569399e-14,-1.1681808537535737e-16,1.2595599459285606e-19,-4.3010598663162514e-23,specimages/fbs0021-DFBSJ070206.40+625806.7.fits
72,fbs0021,DFBSJ070210.41+625929.9,07:02:10.413,+62:59:29.99,16.7,16.21,U,64,13,-5.618018209570815e-12,-5.403541139622344e-15,-1.790078715362719e-12,-2.7638606872077256e-10,1.5093918878373958e-12,-3.0678939271408158e-15,2.743105744240482e-18,-9.102078625944516e-22,specimages/fbs0021-DFBSJ070210.41+625929.9.fits
73,fbs0021,DFBSJ070211.17+630217.4,07:02:11.170,+63:02:17.49,14.26,13.04,OK,102,16,-4.0817918545390416e-11,-6.832765823691469e-14,-1.7469993111815966e-11,-2.855982212131383e-09,1.5395749801843238e-11,-3.0364023945652915e-14,2.6020614835170594e-17,-8.199587961872193e-21,specimages/fbs0021-DFBSJ070211.17+630217.4.fits
74,fbs0021,DFBSJ070212.36+630614.7,07:02:12.360,+63:06:14.75,12.84,11.83,OK,104,12,2.7795376900841166e-10,-1.755083421421533e-13,-4.374911659069074e-11,-6.638554474987474e-09,3.862362992571867e-11,-8.054983049128178e-14,7.217868407359413e-17,-2.3625006454377616e-20,specimages/fbs0021-DFBSJ070212.36+630614.7.fits
75,fbs0021,DFBSJ070212.38+625718.8,07:02:12.382,+62:57:18.87,15.4,13.99,OK,83,17,-2.931773822803614e-11,-2.115400329568036e-14,-6.356603888455443e-12,-1.0611560288563374e-09,5.586300576852962e-12,-1.0741275787652472e-14,8.963979531716619e-18,-2.7486364063505074e-21,specimages/fbs0021-DFBSJ070212.38+625718.8.fits
