_Glon,_Glat,_RAJ2000,_DEJ2000,Cl,Name,Vmag,z
deg,deg,deg,deg,,,mag,

183.622057,-45.363576,50.649167,-1.051944,Sy1,SDSS J03225-0103,15.7,0.041
155.727044,-18.75665,51.171667,34.179167,Sy1,B2 0321+33,15.72,0.063
190.437738,-46.522436,52.555,-5.543056,Sy1,SDSS J03302-0532,16.39,0.013
178.586457,-39.424478,52.7175,5.640556,Sy1,HS 0328+0528,15.7,0.043
201.873718,-50.109726,53.2825,-13.909444,Sy1,NPM1G-14.0176,16.3,0.039
181.494042,-37.983615,55.309167,4.89,Sy1,HS 0338+0443,16.7,0.084
169.716724,-27.906265,55.784583,18.973611,Sy1,RXS J03431+1858,16.7,0.11
186.572353,-39.110261,56.917083,1.087222,Sy1,IRAS 03450+0055,14.64,0.031
170.955742,-25.445452,58.442917,19.973611,Sy1,IC 355,15.4,0.029
186.061414,-36.767952,58.539167,2.825278,Sy1,2E 0351+0240,16.2,0.036
204.864022,-45.307868,58.636667,-13.668889,Sy1,RXS J03545-1340,16.6,0.077
177.316077,-25.862487,62.25125,15.513611,Sy1,IRAS 04061+1522,16.3,0.045
204.198194,-41.105223,62.30625,-11.4175,Sy1,RXS J04092-1125,16.2,0.09
193.129332,-35.006589,63.279167,-0.837778,Sy1,NPM1G-00.0148,16.3,0.04
201.000632,-38.264828,63.719583,-7.927778,Sy1,MS 04124-0802,14.91,0.037
187.716031,-31.027519,63.975,5.156389,Sy1,RXS J04158+0509,16.94,0.097
187.616721,-27.535736,66.767917,7.275833,Sy1,KUV 04244+0710,16.5,0.096
197.943107,-32.055722,67.904167,-2.689722,Sy1,RXS J04316-0241,16.2,0.042
190.373038,-27.396935,68.29625,5.354167,Sy1,3C 120,15.05,0.033
138.782959,15.853558,68.619167,71.468056,Sy1,RXS J04344+7127,16.5,0.025
206.720306,-34.660264,69.0925,-10.376389,Sy1,MARK 618,14.51,0.035
207.42073,-34.429735,69.55875,-10.795833,Sy1,MCG -02.12.050,15,0.036
205.16388,-32.763897,70.229167,-8.372778,Sy1,NPM1G-08.0177,14.5,0.015
205.368835,-32.578759,70.475,-8.442778,Sy1,1ES 0439-085,15.7,0.041
185.853842,-21.087594,71.12,12.353056,Sy1,IRAS 04416+1215,16.15,0.089
200.565334,-28.940274,71.736667,-3.086667,Sy1,NPM1G-03.0212,16.4,0.031
202.679846,-29.846227,71.83625,-5.137222,Sy1,NPM1G-05.0216,15.11,0.044
201.941801,-28.258369,72.923333,-3.809444,Sy1,MCG -01.13.025,14.18,0.013
194.618943,-22.189247,74.789167,4.975,Sy1,UGC 3223,14.41,0.018
190.907002,-19.61667,75.086667,9.282222,Sy1,IRAS 04576+0912,16.58,0.037
196.370357,-22.311295,75.5375,3.530833,Sy1,MS 04595+0327,14.8,0.016
210.30961,-27.842725,76.687083,-10.192778,Sy1,RXS J05067-1011,16.7,0.125
200.405037,-21.041211,78.535,0.9425,Sy1,3C 135.0,17,0.127
201.694729,-21.131723,79.0475,-0.15,Sy1,AKN 120,13.92,0.033
211.813455,-25.86458,79.087917,-10.561389,Sy1,MCG -02.14.009,15.5,0.028
133.345418,22.615991,79.59375,79.535833,Sy1,XBS J05183+7932,15,0.053
198.842842,-18.927577,79.635417,3.269167,Sy1,SNU J05185+0316,15.6,0.057
214.311336,-24.812243,81.028333,-12.169167,Sy1,IRAS 05218-1212,14.84,0.049
201.967211,-18.104382,81.816667,1.100278,Sy1,IRAS 05246+0103,17,0.097
197.928087,-15.657032,82.029583,5.669722,Sy1,SNU J05281+0540,16.5,0.101
142.239513,19.433349,83.474167,70.698333,Sy1,RXS J05338+7041,15.9,0.052
212.92651,-16.545301,88.0475,-7.456389,Sy1,NGC 2110,13.51,0.007
153.681428,16.1272,88.117083,59.476944,Sy1,RXS J05524+5928,15.8,0.058
143.296019,22.718598,93.90125,71.0375,Sy1,MARK 3,13.34,0.014
164.560847,17.549454,97.752083,50.5125,Sy1,SNU J06310+5030,16.8,0.181
151.431875,22.123901,98.197917,63.673056,Sy1,UGC 3478,12.9,0.012
154.968882,23.314019,102.53625,60.845833,Sy1,MARK 620,13.54,0.006
160.561574,22.196812,103.048333,55.576111,Sy1,RXS J06521+5534,16.8,0.064
140.327202,26.106827,103.051667,74.427222,Sy1,MARK 6,14.19,0.019
166.0527,21.032619,103.64625,50.352778,Sy1,MARK 373,14.1,0.02
176.497054,17.827495,103.95625,40.000278,Sy1,UGC 3601,14.8,0.018
156.377377,24.100065,104.692083,59.7775,Sy1,NPM1G+59.0010,15.59,0.069
162.311342,22.856798,104.908333,54.196389,Sy1,MARK 374,14.61,0.044
166.791073,22.197879,105.699583,50.034722,Sy1,TEX 0658+501,15.5,0.094
171.876888,22.837133,108.562917,45.699167,Sy1,MARK 376,14.62,0.056
181.056985,20.644478,109.210833,36.91,Sy1,MS 07134+3700,16.81,0.122
173.755191,23.030418,109.5025,44.090833,Sy1,IRAS F07144+4410,15.5,0.061
156.421634,26.782763,109.981667,60.236389,Sy1,MCG +10.11.025,15.5,0.041
187.775837,19.20041,110.16875,30.48,Sy1,RXS J07207+3028,17,0.152
187.873152,19.538021,110.572917,30.513611,Sy1,HS 0719+3036,16.2,0.1
144.487592,28.298135,111.385417,70.906389,Sy1,MS 07199+7100,16.99,0.125
146.695566,28.313433,111.627917,68.964167,Sy1,MS 07212+6904,16.8,0.111
179.677124,25.062398,114.096667,39.438056,Sy1,FBS 0732+396,16.37,0.118
158.36358,28.746923,114.2375,58.770278,Sy1,MARK 9,14.37,0.039
190.139684,22.209731,114.309583,29.442778,Sy1,SDSS J07372+2926,16.52,0.079
134.025457,28.785755,115.0375,80.065833,Sy1,NPM1G+80.0039,16.86,0.087
185.485581,24.540922,115.325417,34.231944,Sy1,SDSS J07413+3413,16.26,0.016
168.602451,28.382304,115.637083,49.809722,Sy1,MARK 79,14.27,0.022
133.58341,28.857925,115.755833,80.440556,Sy1,3C 184.1,17,0.119
197.077524,21.788153,116.372917,23.267222,Sy1,SDSS J07454+2316,16.08,0.065
175.104799,28.08786,116.749167,44.124444,Sy1,SDSS J07469+4407,16.27,0.076
155.988909,30.214821,116.87125,60.933611,Sy1,MARK 10,14.71,0.03
188.521244,25.736797,117.65875,31.96,Sy1,SDSS J07506+3157,16.14,0.055
194.619486,24.389527,118.189583,26.293611,Sy1,RXS J07527+2617,16.94,0.082
184.513448,27.695168,118.736667,35.941111,Sy1,SDSS J07549+3556,16.04,0.077
180.967634,28.568213,118.855417,39.186111,Sy1,MARK 382,16.11,0.034
185.725962,28.022773,119.463333,34.989167,Sy1,SDSS J07578+3459,16.17,0.071
194.902379,26.099538,120.0875,26.613611,Sy1,UGC 4155,16.36,0.025
211.419909,19.917674,120.112083,10.219444,Sy1,NPM1G+10.0129,16.4,0.048
203.014653,23.510378,120.25625,18.811389,Sy1,SDSS J08010+1848,16.88,0.14
179.546461,30.52241,121.014167,40.8025,Sy1,SDSS J08040+4048,15.95,0.126
211.365461,21.116656,121.193333,10.776111,Sy1,UGC 4211,14.5,0.035
200.789264,25.282969,121.219583,21.347222,Sy1,MS 08019+2129,16.99,0.125
168.109683,32.173778,121.441667,50.698889,Sy1,SDSS J08057+5041,16.79,0.068
197.816038,26.662774,121.624167,24.331944,Sy1,SDSS J08064+2419,15.98,0.042
215.961693,20.144824,122.204167,6.481111,Sy1,SDSS J08088+0628,16.93,0.101
216.085905,20.242521,122.344583,6.420556,Sy1,SDSS J08093+0625,16.55,0.098
138.559767,31.00302,122.41625,75.815833,Sy1,MS 08033+7557,16.32,0.094
186.58539,30.446825,122.554167,34.86,Sy1,SDSS J08102+3451,16.92,0.083
182.405044,31.774376,123.21875,38.639722,Sy1,SDSS J08128+3838,16.48,0.04
184.359272,31.842626,123.719167,37.025278,Sy1,SDSS J08148+3701,16.71,0.06
183.458229,32.008671,123.731667,37.807778,Sy1,SDSS J08149+3748,16.81,0.081
164.950951,33.72131,123.73375,53.425833,Sy1,SDSS J08149+5325,16.92,0.12
173.757731,33.317664,123.82,46.075,Sy1,MCG +08.15.056,16.48,0.041
189.33729,30.988242,123.871667,32.694167,Sy1,SDSS J08154+3241,15.74,0.07
181.384875,32.469056,123.895,39.616389,Sy1,SDSS J08155+3937,16.56,0.064
193.676404,30.279328,124.222083,28.906111,Sy1,SDSS J08168+2854,16.98,0.057
186.608147,31.889386,124.275,35.168333,Sy1,SDSS J08171+3510,16.58,0.114
220.499036,20.47684,124.455,2.85,Sy1,RXS J08177+0250,16.75,0.106
151.618814,33.702671,124.82375,64.494444,Sy1,NPM1G+64.0045,16,0.039
184.076433,32.956002,125.032083,37.4775,Sy1,1WGA J0820.1+3728,15.74,0.082
